index,comment,expression_emoji,label
1,මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ . ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,😡,1
2,මන් ඊයේ මුස්ලිම් ඩෑල් එකක් එක්ක සෙල්ෆියක් ගත්තා සහජීවනේ රැකගෙන ඉදිරියට යන්න ඌ ඒක තාම දාලා නෑ...පරයා,😡,1
3,සංහිදියාවට අවුලක් වෙයි ද,😂,0
4,.කටින් පුරසාරම් දොඩන අපි සිංහලයො විදියට ලැජ්ජා විය යුතුයි,😂,2
5,මචන් ඔය මගුල නවත්තලා කොන්දක් තියෙනවානම් පුලුවන්නම් කරලා පෙන්නපන් ඔය දෙසපාලනය කරන අයගෙන් මෙ රටට මොකක්ද වෙලා තියෙන්නෙ කියලා අන්න එදාට උබ නියම කොල්ලෙක්.පුලුවන්නම් කරලා පෙන්නනවාද .,😂,2
6,"හැබැයි ඒ මේ ආණ්ඩුවේ විතරක් නෙවෙයි , රට හූරාගෙන තමන්ගෙ බූදලය කියල හිතාගෙන , රට උගස් තියල සල්ලි නයට අරගෙන තමතමන්ගෙ පරම්පරාවෙ එවුන්ටයි හිතවත් එවුන්ටයි බෙදාගෙන කන සියලුම දේශපාලකයන් දුටු දුටු තැන මරලා දාන දිනය වැඩි ඈතක නෑ",😡,1
7,ලංකාව මොකක්ද.. මෙිකෙ ඉන්නෙ වාහනයක් ගත්තම අලි ඔලුවෙන් ඉන්න පාරෙ යන වෙන එකෙක් ගැන හිතන්නැති නිරැවත් පිංපියො වගෙ එවුන් ටිකක් නෙ.,😡,1
8,උඹ ලෝකයක් ඉස්සරහ හදාගත්ත නම්බුව ලංකාවේ කාලකණ්ණි එක විනාඩියේන් නැති කරයි..... බන්... ඒ හන්ද දේශපාලනය කරන්ට එන්ට එපා මචංංංංං... ගුඩ්ලක්...,😂,2
9,පල්ලියකට ගලක් වැදුනත් පරසක්වල ගහන මූ පන්සල් බිමට සමතලා කරද්දී සද්ද නෑ.මූට කොහොමත් ඡන්දෙ නම් දෙන්නෙ නෑ.,😡,1
10,පංසල් විනාශ කරද්දී ඇරෙන්නේ නැති සංගාගේ කට පල්ලියට ගල් ගහද්දි ඇරුණා .එහෙම නායකත්වයක් සිංහල රට ජාතිය හදයිද,😡,1
11,රට හදන්න ඕනේ නම් එන්ජීඕ ගැට වලින් මිදී ගෙදරට වී ඉන්න,😂,2
12,රට හදන්න කලින් මිනිසුන් රවටන ප්‍රචාරක දැන්විම් වලින් මුදල් හම්බ කරන එක නවත්වා සමාජයට සේවයක් කරන්න.,😂,2
13,ජයසූරියත් ආවෙ..කෝ රට හැදුවද ? හැදුවද ? නෑ..නෙ...නෑ නෙ...ඌ ලමයි හැදුවා,😡,1
14,ආ එතකොට අපිටත් ඇඩ් එකක ඉන්න පුළුවන් වෙයි නේ..,😂,2
15,පොන්නයො රට පලනය කරනකොට ඔහොම තමා.ජිවිතේ අසාවෙන් බලපු එකම දේ ක්‍රිකට් එකත් නැති කරා මේ පොන්නයො,😡,1
16,ඔය කාරනය හරියට විග්‍රහ කරන්න ඩුප්ලිකේට් මහමෙව්නාවේ ඩුප්ලිකේට් කල්‍යාණ මිතුරන්ට පුලුවන් නම් දිව්‍ය ලෝක promote කරයි‍ ද?,😂,2
17,ස්ට්‍රයික් කරන ඔක්කොටම ගහන්න ඕන දෝස්තරලාත් ඇතුලු,😡,1
18,ගිය ආන්ඩුව කාලෙ ඔහොම නැටුවේ නෑ.මුන්ගෙ කොන්ද පන නෑ.,😡,1
19,ඉතිං බං උබලා පිස්සු නටලා ඊට වඩා පඩි ගන්නෙ ඕක මොකක්ද.,😡,1
20,කල්ලතෝනි පකෙක්..,😡,1
21,අැත්තටම හරිම සතුටුයි.එ් මනුස්සකමට.එ් වගේම අරාබියට ගිහින්එන අපේ මුස්ලිමි කාන්තාවන් මුන වහගෙන බිල්ලෝ වගේ එනකොට මේ නෝනා හරිම සුන්දර විදියට අැවිත් ඉන්නවා.,😡,1
22,මේ කැරිවේසිග පුතාල ඉන්නකල් රටට කෙලවෙන එක අහන්නත් දෙයක්ද බන්..කාලකන්නි හැත්ත...බල්ලො රටේ ලොක්කො වෙනකොට රට බල්ලට යන එක අහන්නත් දෙයක්ද,😡,1
